procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
16  0    512 16022032 2385212 100166848    0    0     0    80 14838 3651 23  3 74  0  0
19  0    512 16015024 2385212 100166864    0    0     0   104 15264 3776 23  3 74  0  0
16  0    512 16026536 2385212 100166880    0    0     0    44 9802 3807 24  2 75  0  0
16  0    512 16029220 2385212 100166944    0    0    12     8 14734 5913 23  3 74  0  0
16  0    512 16029020 2385212 100166944    0    0     0  1448 16916 2766 24  4 72  0  0
16  0    512 16027788 2385216 100166960    0    0     0   124 15393 2599 23  3 74  0  0
16  0    512 16028172 2385216 100166960    0    0     0    96 15530 2884 23  3 74  0  0
17  0    512 16028836 2385216 100166960    0    0     0     4 16707 2523 23  3 74  0  0
17  0    512 16029496 2385216 100166968    0    0     0     8 15805 2842 24  3 73  0  0
18  0    512 16032908 2385216 100166976    0    0     0  1516 17338 2476 23  3 74  0  0
24  0    512 16033852 2385216 100166984    0    0     0    24 17101 2371 24  3 73  0  0
16  0    512 16035040 2385216 100167120    0    0     0   200 15441 2787 23  3 73  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
17  0    512 16037712 2385216 100167120    0    0     0     4 16501 2645 23  3 74  0  0
24  0    512 16038288 2385216 100167136    0    0     0     4 16665 2724 23  3 73  0  0
18  0    512 15838992 2385216 100167144    0    0     0   240 9602 2289 24  2 74  0  0
17  0    512 15518972 2385220 100167152    0    0     0  1176 9084 2316 23  5 73  0  0
17  0    512 15460516 2385220 100167184    0    0     0    28 14993 3864 23  3 74  0  0
18  0    512 15445836 2385220 100167192    0    0     0     8 14504 3608 23  3 74  0  0
16  0    512 15452908 2385220 100167200    0    0     0     4 15034 3753 23  3 74  0  0
17  0    512 15454548 2385220 100167216    0    0     0     8 11584 4588 23  2 74  0  0
17  0    512 15454200 2385220 100167216    0    0     0  1860 15179 5971 22  3 74  0  0
16  0    512 15454968 2385224 100167232    0    0     0    76 16691 2703 23  4 73  0  0
16  0    512 15453164 2385224 100167248    0    0     0     8 16832 2275 23  3 74  0  0
16  0    512 15454140 2385224 100167248    0    0     0     4 16416 2781 23  3 74  0  0
19  0    512 15445232 2385224 100167264    0    0     0   100 16472 2578 23  3 74  0  0
20  0    512 15449296 2385224 100167392    0    0     0  1532 15961 2466 23  3 74  0  0
19  0    512 15449000 2385224 100167408    0    0     0   204 16120 2531 23  3 74  0  0
17  0    512 15452312 2385224 100167416    0    0     0     4 17152 2106 23  4 73  0  0
16  0    512 15452056 2385224 100167424    0    0     0     8 12846 2527 24  2 74  0  0
16  0    512 15454736 2385224 100167432    0    0     0   164 9951 1854 25  2 74  0  0
16  0    512 15459156 2385224 100167440    0    0     0  1644 10727 2624 23  2 75  0  0
